test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.18881 137.364 125.575 71.9798 -17.5331 -17.5331 0.973887
test91.fits.log:REGRESSION : MOM0FLUX: x.CH2OHCHO_220.19665 465.53 421.069 71.9798 0.493819 0.493819 2.10772
test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.24389 462.577 426.875 71.9798 16.1407 16.1407 0.930136
test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.24389 462.577 426.875 71.9798 16.1407 16.1407 0.930136
test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.25090 573.983 531.084 71.9798 6.75953 6.75953 1.99966
test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.25090 573.983 531.084 71.9798 6.75953 6.75953 1.99966
test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.26000 397.05 373.986 71.9798 -1.90787 -1.90787 1.33955
test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.26000 397.05 373.986 71.9798 -1.90787 -1.90787 1.33955
test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.29514 340.571 304.398 71.9798 2.59501 2.59501 0.712213
test91.fits.log:REGRESSION : MOM0FLUX: x.H2CN_220.29514 340.571 304.398 71.9798 2.59501 2.59501 0.712213
test91.fits.log:REGRESSION : MOM0FLUX: x.U_220.306 118.18 104.885 71.9798 1.47933 1.47933 1.09229
test6503.fits.log:REGRESSION : MOM0FLUX: x.H-atom_1.42041 1863.24 1115.82 1.05015e-06 38.1703 38.1703 76.5429
