#
#     This simple VLSR catalog can be used (right now it has to) in case ADMIT cannot
#     figure out the VLSR of a source to aid the LineID.
#     It is suggested that source names are in upper case, although the default in
#     ADMIT is now (nov 2015) that we compare in upper case.
#
#     There is a alternate (NED based) method in VLSR.py as well, but that only works
#     for galaxies of course.
#
#     We are using the RADIO convention of radial velocity, ie.
#                  vrad = c * z / (1 + z)
#     with c = 299792.458
#
# Name             VLSR
# !UPPER_CASE!     km/s
NGC6357_SE                 -3.0   # open cluster
Orion_KL                    8.8   # proto star  see also http://arxiv.org/pdf/1502.01280v1.pdf
PCC_11546                 236.0   # helio: 236
SGP3_39                198477.0   # z=1.959
SPT0346-52             254751.0   # z=5.655940032
W0116-0505             227951.0   # z=3.173
GG_TAU                      1.2   # helio: 12.0
UX_TAU                     12.3   # helio: 22.9
TW_Hya                      2.9   # helio: 13.4    11 01 51.90671 -34 42 17.0323 dVlsr=-3.0  -> -6.9     -9.5 uvw=10.3,15.3,7.7
"TW Hya"                    2.9   # from band 7 SV data
LupusIII_53                10.0
LupusIV_153                10.0
# two ESO_2013 product trees
HH46                        5.0
# TW_Hya
# --test5--
Aztec-3  252197.28780885247  # km/s doppler: RADIO  ref: lsrk
Fomalhaut  6.5  # km/s doppler: RELATIVISTIC  ref: hel
G286_1  -20.0  # km/s doppler: RADIO  ref: lsrk
G286_2  -20.0  # km/s doppler: RADIO  ref: lsrk
G286_3  -20.0  # km/s doppler: RADIO  ref: lsrk
G286_4  -20.0  # km/s doppler: RADIO  ref: lsrk
G286_5  -20.0  # km/s doppler: RADIO  ref: lsrk
HD_15115  0.0  # km/s doppler: RADIO  ref: lsrk
HD_32297  23.0  # km/s doppler: RELATIVISTIC  ref: hel
HD_61005  21.98  # km/s doppler: RELATIVISTIC  ref: hel
HZ10  254771.81556119537  # km/s doppler: RADIO  ref: lsrk
IC_2520  1248.4236675777966  # km/s doppler: RELATIVISTIC  ref: hel
LBG-1  252168.55680857823  # km/s doppler: RADIO  ref: lsrk
LBQS_0058+0155  183622.88052500004  # km/s doppler: OPTICAL  ref: hel
LBQS1434-0038  221156.89626660006  # km/s doppler: OPTICAL  ref: hel
NGC_1012  975.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC_1035  1248.5  # km/s doppler: RELATIVISTIC  ref: hel
NGC_4150  234.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC_4310  911.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC_4376  1150.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC_4396  -127.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC_4451  864.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC_4632  1720.7  # km/s doppler: RELATIVISTIC  ref: hel
NGC_4701  723.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC4945  538.2  # km/s doppler: OPTICAL  ref: hel
NGC_5692  1634.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC_6106  1450.0  # km/s doppler: RELATIVISTIC  ref: hel
NGC_853  1533.4  # km/s doppler: RELATIVISTIC  ref: hel
PSS_J1443+2724  278599.1372865981  # km/s doppler: RELATIVISTIC  ref: hel
QSO_0138-0005  234467.6814018  # km/s doppler: OPTICAL  ref: hel
QSO_1629+120  159279.7329354  # km/s doppler: OPTICAL  ref: hel
QSO_B0827+2421  157301.10271260003  # km/s doppler: OPTICAL  ref: hel
QSO_J0817+1351  242780.35203620876  # km/s doppler: RADIO  ref: hel
QSO_J1201+2117  237303.14940177175  # km/s doppler: RADIO  ref: lsrk
QSO_J2335+1501  203798.9129484  # km/s doppler: OPTICAL  ref: hel
UGC8516  1013.0  # km/s doppler: RELATIVISTIC  ref: hel

